50 800
19 49 1.0
20 21 1.0
20 23 1.0
20 25 1.0
20 31 1.0
20 32 1.0
20 33 1.0
20 34 1.0
20 35 1.0
20 37 1.0
20 39 1.0
20 40 1.0
20 42 1.0
20 47 1.0
20 48 1.0
20 49 1.0
21 22 1.0
21 26 1.0
21 27 1.0
21 28 1.0
21 29 1.0
21 30 1.0
21 31 1.0
21 32 1.0
21 33 1.0
21 34 1.0
21 35 1.0
21 38 1.0
21 39 1.0
21 40 1.0
21 41 1.0
21 42 1.0
21 44 1.0
21 45 1.0
21 46 1.0
21 47 1.0
21 48 1.0
21 49 1.0
22 24 1.0
22 25 1.0
22 26 1.0
22 27 1.0
22 29 1.0
22 31 1.0
22 32 1.0
22 33 1.0
22 36 1.0
22 37 1.0
22 38 1.0
22 39 1.0
22 41 1.0
22 42 1.0
22 43 1.0
22 44 1.0
22 45 1.0
22 46 1.0
22 47 1.0
22 49 1.0
23 24 1.0
23 25 1.0
23 27 1.0
23 29 1.0
23 30 1.0
23 32 1.0
23 33 1.0
23 34 1.0
23 36 1.0
23 37 1.0
23 38 1.0
23 39 1.0
23 41 1.0
23 43 1.0
23 44 1.0
23 45 1.0
23 47 1.0
23 48 1.0
23 49 1.0
24 28 1.0
24 30 1.0
24 31 1.0
24 32 1.0
24 33 1.0
24 34 1.0
24 35 1.0
24 37 1.0
24 38 1.0
24 39 1.0
24 40 1.0
24 41 1.0
24 42 1.0
24 43 1.0
24 45 1.0
24 46 1.0
24 49 1.0
25 27 1.0
25 29 1.0
25 30 1.0
25 31 1.0
25 32 1.0
25 33 1.0
25 34 1.0
25 35 1.0
25 36 1.0
25 37 1.0
25 38 1.0
25 40 1.0
25 42 1.0
25 43 1.0
25 44 1.0
25 45 1.0
25 47 1.0
25 48 1.0
26 27 1.0
26 28 1.0
26 29 1.0
26 30 1.0
26 31 1.0
26 32 1.0
26 34 1.0
26 36 1.0
26 39 1.0
26 41 1.0
26 42 1.0
26 44 1.0
26 45 1.0
26 46 1.0
26 48 1.0
26 49 1.0
27 28 1.0
27 30 1.0
27 32 1.0
27 33 1.0
27 35 1.0
27 36 1.0
27 38 1.0
27 39 1.0
27 40 1.0
27 42 1.0
27 43 1.0
27 44 1.0
27 46 1.0
27 47 1.0
27 49 1.0
28 29 1.0
28 32 1.0
28 33 1.0
28 35 1.0
28 36 1.0
28 39 1.0
28 40 1.0
28 42 1.0
28 43 1.0
28 44 1.0
28 47 1.0
28 49 1.0
29 30 1.0
29 31 1.0
29 32 1.0
29 35 1.0
29 36 1.0
29 37 1.0
29 41 1.0
29 44 1.0
29 46 1.0
29 47 1.0
29 48 1.0
30 31 1.0
30 32 1.0
30 34 1.0
30 35 1.0
30 37 1.0
30 38 1.0
30 39 1.0
30 40 1.0
30 41 1.0
30 42 1.0
30 43 1.0
30 44 1.0
30 45 1.0
30 46 1.0
30 48 1.0
30 49 1.0
31 32 1.0
31 34 1.0
31 36 1.0
31 38 1.0
31 39 1.0
31 40 1.0
31 41 1.0
31 42 1.0
31 43 1.0
31 45 1.0
31 48 1.0
31 49 1.0
32 34 1.0
32 36 1.0
32 37 1.0
32 38 1.0
32 39 1.0
32 40 1.0
32 41 1.0
32 42 1.0
32 43 1.0
32 44 1.0
32 45 1.0
32 46 1.0
32 49 1.0
33 34 1.0
33 35 1.0
33 38 1.0
33 39 1.0
33 41 1.0
33 42 1.0
33 43 1.0
33 44 1.0
33 46 1.0
33 47 1.0
33 48 1.0
33 49 1.0
34 35 1.0
34 37 1.0
34 38 1.0
34 39 1.0
34 40 1.0
34 41 1.0
34 43 1.0
34 44 1.0
34 45 1.0
34 46 1.0
34 47 1.0
34 48 1.0
34 49 1.0
35 37 1.0
35 39 1.0
35 41 1.0
35 42 1.0
35 43 1.0
35 44 1.0
35 45 1.0
35 46 1.0
36 37 1.0
36 38 1.0
36 39 1.0
36 40 1.0
36 41 1.0
36 42 1.0
36 43 1.0
36 44 1.0
36 45 1.0
36 46 1.0
36 48 1.0
37 39 1.0
37 41 1.0
37 46 1.0
37 47 1.0
37 48 1.0
38 39 1.0
38 41 1.0
38 44 1.0
38 45 1.0
38 46 1.0
38 47 1.0
38 48 1.0
38 49 1.0
39 41 1.0
39 43 1.0
39 44 1.0
39 45 1.0
39 47 1.0
39 48 1.0
40 42 1.0
40 43 1.0
40 45 1.0
40 46 1.0
40 47 1.0
40 49 1.0
41 42 1.0
41 44 1.0
41 45 1.0
41 46 1.0
41 47 1.0
41 48 1.0
41 49 1.0
42 43 1.0
42 47 1.0
42 48 1.0
42 49 1.0
43 44 1.0
43 46 1.0
43 47 1.0
43 49 1.0
44 45 1.0
44 47 1.0
46 47 1.0
46 48 1.0
46 49 1.0
47 48 1.0
47 49 1.0
48 49 1.0
